✳️客户名称,M2W4,M3W1,M3W2,M3W3,M3W4,M4W1,M4W2,M4W3,M4W4,M4W5,M5W1,M5W2,M5W3,M6W1,M6W2
360,24260,0,0,0,50,748454,1006741,1034300,423876,118082,722939,645665,514250,1398625,1358223
WPS,510,66,57,2,2,99,160,147018,370569,214460,318715,387419,464006,660633,636676
上海弘玑信息技术有限公司,0,0,0,0,0,0,0,39,69,37,19,2,156,272,429
北京蓝城兄弟,0,0,0,0,0,0,0,276774,1,0,2,0,7284,140221,261644
豆瓣,89762,8638,20192,12097,24589,65225,69234,62811,68259,73080,73894,76719,83011,243818,134064
金蝶,0,0,0,0,0,0,0,47,53,157,103,619000,80471,19563,15449
喜马拉雅,32842,1240,6261,1636,11806,46917,47807,49372,24706,5516,63077,159211,216899,397369,1937565
智慧芽,156684,2399,49773,26773,38314,9755,49069,60649,62632,45255,28803,4437,11035,53131,60120
虎扑,0,0,0,0,0,2279,24565,18498,19556,21459,19269,19441,15727,28147,54601
shein,5544,5323,7,90,18,18,3,0,0,0,1,69666,38506,34725,42737
易聊,0,0,0,0,0,0,824,345,340,126,175,166,351,496,253
红色蝴蝶科,0,0,0,0,0,0,60411,16640,0,0,0,1,0,0,0
火羽,1,16,0,0,0,0,25161,43867,5507,11,0,0,0,0,0
香侬慧语,0,0,0,0,0,0,7563,12349,7057,7198,30673,13011,11837,6466,70874
马蜂窝,1,1575,2838,1654,2696,3909,4373,9891,9690,13621,6872,5574,15951,31283,8279
